Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p8E34,1p6E34,1p4E34,1p3E34,1p2E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,2p0E34_NoEcalTiming,HIon,PRef
HLTriggerFirstPath,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnCPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnGPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_EcalPhiSymForHI_v12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_EcalEtaEBonlyForHI_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_EcalEtaEEonlyForHI_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_EcalPi0EBonlyForHI_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_EcalPi0EEonlyForHI_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_RPCMuonNormalisationForHI_v11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
DQM_HIPixelReconstruction_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
DQM_HIEcalReconstruction_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
DQM_HIHcalReconstruction_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
DST_Physics_v16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLT_HIEphemeralPhysics_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
HLT_HIEphemeralZeroBias_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_EcalCalibration_v4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalCalibration_v6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIL1NotBptxOR_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1UnpairedBunchBptxPlus_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1UnpairedBunchBptxMinus_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPhysics_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
HLT_HIPhysicsForZS_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
HLT_HIRandom_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
HLT_HIRandom_HighRate_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIHcalNZS_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0
HLT_HIHcalPhiSym_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIZeroBias_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
HLT_HIZeroBias_HighRate_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIZeroBias_FirstCollisionAfterAbortGap_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIZeroBias_HighRateRAW_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1AND_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1AND_copy_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0
HLT_HIMinimumBiasHF1AND_Beamspot_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,0
HLT_HIMinimumBiasHF1ANDZDC1nOR_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1ANDZDC2nOR_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1ANDZDC1nOR_copy_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0
HLT_HIMinimumBiasHF1ANDZDC2nOR_copy_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0
HLT_HIMinimumBiasHF1ANDZDC1nOR_Beamspot_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0
HLT_HIMinimumBiasHF1ANDZDC2nOR_Beamspot_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0
HLT_HICentrality30100_FirstCollisionAfterAbortGap_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIL1Centrality30_50_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1_UCC_0_0p5_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1_UCC_0_1_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Eta5p1_MinBiasHF1AND_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Eta5p1_MinBiasHF1AND_ZDC1nOR_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Eta5p1_MinBiasHF1AND_ZDC2nOR_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet60Eta5p1_MinBiasHF1AND_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet60Eta5p1_MinBiasHF1AND_ZDC1nOR_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet60Eta5p1_MinBiasHF1AND_ZDC2nOR_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet80Eta5p1_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet100Eta5p1_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet120Eta2p1_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet120Eta5p1_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Fwd_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet60Fwd_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet80Fwd_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet100Fwd_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet120Fwd_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton10_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
HLT_HIGEDPhoton10_EB_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
HLT_HIGEDPhoton20_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
HLT_HIGEDPhoton20_EB_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
HLT_HIGEDPhoton30_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton30_EB_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton40_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton40_EB_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton50_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton50_EB_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton60_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton60_EB_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleGEDPhoton20_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle10Gsf_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
HLT_HIEle15Gsf_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
HLT_HIEle20Gsf_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle30Gsf_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle40Gsf_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle50Gsf_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle15Ele10Gsf_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle15Ele10GsfMass50_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle10Gsf_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle10GsfMass50_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle15Gsf_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle15GsfMass50_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZeroBias_SinglePixelTrackLowPt_MaxPixelCluster400_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZeroBias_SinglePixelTrack_MaxPixelTrack_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_NotMBHF2_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_MinPixelCluster400_MaxPixelCluster10000_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_SinglePixelTrack_MaxPixelTrack_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1AND_PixelTrackMultiplicity20_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1AND_PixelTrackMultiplicity30_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1AND_PixelTrackMultiplicity40_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2AND_PixelTrackMultiplicity20_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2AND_PixelTrackMultiplicity30_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2AND_PixelTrackMultiplicity40_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF1AND_PixelTrackMultiplicity20_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF1AND_PixelTrackMultiplicity30_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF1AND_PixelTrackMultiplicity40_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF2AND_PixelTrackMultiplicity20_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF2AND_PixelTrackMultiplicity30_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF2AND_PixelTrackMultiplicity40_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuCosmic_BptxAND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuCosmic_NotMBHF2AND_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuCosmic_NotMBHF2AND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuCosmic_NotMBHF2OR_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuCosmic_NotMBHF2OR_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_BptxAND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
HLT_HIUPC_SingleMuOpen_NotMBHF2AND_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_NotMBHF2AND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_NotMBHF2OR_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_NotMBHF2OR_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_BptxAND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2AND_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2AND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2OR_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2OR_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuCosmic_BptxAND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuCosmic_NotMBHF2AND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuCosmic_NotMBHF2AND_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuOpen_BptxAND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0
HLT_HIUPC_DoubleMuOpen_NotMBHF2AND_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuOpen_NotMBHF2AND_MaxPixelCluster1000_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG2_NotMBHF2AND_ZDC1nOR_SinglePixelTrack_MaxPixelTrack_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_BptxAND_SinglePixelTrack_MaxPixelTrack_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_NotMBHF2AND_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_NotMBHF2OR_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_NotMBHF2OR_SinglePixelTrack_MaxPixelTrack_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG5_BptxAND_SinglePixelTrack_MaxPixelTrack_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG4_NotMBHF2AND_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG5_NotMBHF2AND_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2_BptxAND_SinglePixelTrack_MaxPixelTrack_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2_NotMBHF2AND_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG5_BptxAND_SinglePixelTrack_MaxPixelTrack_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG5_NotMBHF2AND_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet8_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet12_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet16_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet20_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet24_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet28_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet8_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet12_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet16_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet20_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet24_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet28_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet8_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet12_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet16_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet20_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet24_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet28_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZeroBias_MaxPixelCluster10000_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_MaxPixelCluster10000_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_MBHF1AND_PixelTrackMultiplicity20400_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_MBHF1AND_PixelTrackMultiplicity30400_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_MBHF1AND_PixelTrackMultiplicity40400_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAND_NotMBHF2_MaxPixelCluster10000_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_MinPixelThrust0p8_MaxPixelCluster10000_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet8_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet12_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet16_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet20_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet24_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet28_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet8_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet12_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet16_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet20_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet24_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet28_ZDC1nXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet8_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet12_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet16_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet20_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet24_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleUncorrJet28_ZDC1nAsymXOR_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleUncorrJet8_DeltaPhi2p0_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleUncorrJet12_DeltaPhi2p0_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
