Path,Owners,Online?,PS (PRef),Datasets (SmartPS),Streams,L1T Seed
HLTriggerFirstPath,TSG,Yes,1,,,
Status_OnCPU,TSG,Yes,1,,,
Status_OnGPU,TSG,Yes,1,,,
AlCa_EcalPhiSym_v20,AlCa& ECAL,Yes,1,AlCaPhiSym,ALCAPHISYM,L1_ZeroBias OR L1_AlwaysTrue OR L1_IsolatedBunch
AlCa_HIEcalEtaEBonly_v12,AlCa& HIN,Yes,1,AlCaP0,ALCAP0,L1_AlwaysTrue OR L1_DoubleEG_15_10 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleJet100er2p7 OR L1_DoubleJet112er2p7 OR L1_DoubleJet120er2p7 OR L1_DoubleJet40er2p7 OR L1_DoubleJet50er2p7 OR L1_DoubleJet60er2p7 OR L1_DoubleJet80er2p7 OR L1_IsolatedBunch OR L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18 OR L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG28 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG5 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20 OR L1_SingleIsoEG22 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleJet120 OR L1_SingleJet140 OR L1_SingleJet150 OR L1_SingleJet16 OR L1_SingleJet160 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet20 OR L1_SingleJet200 OR L1_SingleJet35 OR L1_SingleJet60 OR L1_SingleJet90
AlCa_HIEcalEtaEEonly_v12,AlCa& HIN,Yes,1,AlCaP0,ALCAP0,L1_AlwaysTrue OR L1_DoubleEG_15_10 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleJet100er2p7 OR L1_DoubleJet112er2p7 OR L1_DoubleJet120er2p7 OR L1_DoubleJet40er2p7 OR L1_DoubleJet50er2p7 OR L1_DoubleJet60er2p7 OR L1_DoubleJet80er2p7 OR L1_IsolatedBunch OR L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18 OR L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG28 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG5 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20 OR L1_SingleIsoEG22 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleJet120 OR L1_SingleJet140 OR L1_SingleJet150 OR L1_SingleJet16 OR L1_SingleJet160 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet20 OR L1_SingleJet200 OR L1_SingleJet35 OR L1_SingleJet60 OR L1_SingleJet90
AlCa_HIEcalPi0EBonly_v12,AlCa& HIN,Yes,1,AlCaP0,ALCAP0,L1_AlwaysTrue OR L1_DoubleEG_15_10 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleJet100er2p7 OR L1_DoubleJet112er2p7 OR L1_DoubleJet120er2p7 OR L1_DoubleJet40er2p7 OR L1_DoubleJet50er2p7 OR L1_DoubleJet60er2p7 OR L1_DoubleJet80er2p7 OR L1_IsolatedBunch OR L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18 OR L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG28 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG5 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20 OR L1_SingleIsoEG22 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleJet120 OR L1_SingleJet140 OR L1_SingleJet150 OR L1_SingleJet16 OR L1_SingleJet160 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet20 OR L1_SingleJet200 OR L1_SingleJet35 OR L1_SingleJet60 OR L1_SingleJet90
AlCa_HIEcalPi0EEonly_v12,AlCa& HIN,Yes,1,AlCaP0,ALCAP0,L1_AlwaysTrue OR L1_DoubleEG_15_10 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleJet100er2p7 OR L1_DoubleJet112er2p7 OR L1_DoubleJet120er2p7 OR L1_DoubleJet40er2p7 OR L1_DoubleJet50er2p7 OR L1_DoubleJet60er2p7 OR L1_DoubleJet80er2p7 OR L1_IsolatedBunch OR L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18 OR L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG28 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG5 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20 OR L1_SingleIsoEG22 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleJet120 OR L1_SingleJet140 OR L1_SingleJet150 OR L1_SingleJet16 OR L1_SingleJet160 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet20 OR L1_SingleJet200 OR L1_SingleJet35 OR L1_SingleJet60 OR L1_SingleJet90
AlCa_HIRPCMuonNormalisation_v11,AlCa& GEM& RPC,Yes,12,RPCMonitor,RPCMON,L1_SingleMu7 OR L1_SingleMu12 OR L1_SingleMu16 OR L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_SingleMu30
AlCa_LumiPixelsCounts_Random_v10,AlCa& LUM,Yes,1,AlCaLumiPixelsCountsExpress& AlCaLumiPixelsCountsPrompt,ALCALumiPixelsCountsExpress& ALCALumiPixelsCountsPrompt,
AlCa_LumiPixelsCounts_ZeroBias_v12,AlCa& LUM,Yes,13,AlCaLumiPixelsCountsPrompt,ALCALumiPixelsCountsPrompt,L1_ZeroBias
DQM_PixelReconstruction_v12,TRK& Tracker,Yes,10000,DQMGPUvsCPU,DQMGPUvsCPU,L1GlobalDecision
DQM_EcalReconstruction_v12,ECAL,Yes,10000,DQMGPUvsCPU,DQMGPUvsCPU,L1GlobalDecision
DQM_HcalReconstruction_v10,HCAL& PFlow,Yes,10000,DQMGPUvsCPU,DQMGPUvsCPU,L1GlobalDecision
DST_Physics_v16,TSG,Yes,10,L1Accept,NanoDST,
HLT_EcalCalibration_v4,AlCa& ECAL,Yes,1,EcalLaser& TestEnablesEcalHcal& TestEnablesEcalHcalDQM,Calibration& DQMCalibration& EcalCalibration,
HLT_HcalCalibration_v6,AlCa& HCAL,Yes,1,TestEnablesEcalHcal& TestEnablesEcalHcalDQM,Calibration& DQMCalibration,
HLT_HcalNZS_v21,AlCa& HCAL,Yes,1,HcalNZS& OnlineMonitor,DQM& PhysicsCommissioning,L1_ZeroBias OR L1_SingleJet90 OR L1_SingleJet120 OR L1_SingleJet140er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet40er2p5 OR L1_DoubleJet100er2p5 OR L1_DoubleJet120er2p5 OR L1_QuadJet60er2p5 OR L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT320er
HLT_HcalPhiSym_v23,AlCa& HCAL,Yes,1,HcalNZS& OnlineMonitor,DQM& PhysicsCommissioning,L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleEG10er2p5 OR L1_SingleEG15er2p5 OR L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7 OR L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu_12_5 OR L1_DoubleMu_15_7 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_TripleEG_18_17_8_er2p5 OR L1_TripleMu_5_3_3 OR L1_TripleMu_5_5_3
HLT_Random_v3,AlCa& Tracker,Yes,40,ExpressPhysics& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,
HLT_Physics_v14,AlCa& L1T& Tracker,Yes,50,EventDisplay(10)& ExpressPhysics(2)& HLTPhysics& OnlineMonitor,DQM& DQMEventDisplay& Express& PhysicsCommissioning,
HLT_ZeroBias_v13,AlCa& BPH& SMP& TRK& Tracker,Yes,1000,ExpressPhysics(2)& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,L1_ZeroBias
HLT_ZeroBias_Beamspot_v16,TRK,Yes,1000,DQMOnlineBeamspot& ExpressAlignment,DQMOnlineBeamspot& ExpressAlignment,L1_ZeroBias
HLT_ZeroBias_FirstCollisionAfterAbortGap_v12,AlCa& Tracker,Yes,2,ExpressPhysics& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,L1_FirstCollisionInOrbit
HLT_IsoTrackHB_v14,AlCa& HCAL,Yes,1,Commissioning& OnlineMonitor,DQM& PhysicsCommissioning,L1_SingleJet60 OR L1_SingleJet200 OR L1_DoubleJet120er2p5
HLT_IsoTrackHE_v14,AlCa& HCAL,Yes,1,Commissioning& OnlineMonitor,DQM& PhysicsCommissioning,L1_SingleJet60 OR L1_SingleJet200 OR L1_DoubleJet120er2p5
HLT_CDC_L2cosmic_10_er1p0_v10,AlCa& Tracker,Yes,1,NoBPTX& OnlineMonitor,DQM& PhysicsCommissioning,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142
HLT_CDC_L2cosmic_5p5_er1p0_v10,AlCa& Tracker,Yes,1,NoBPTX& OnlineMonitor,DQM& PhysicsCommissioning,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142
HLT_HIL1UnpairedBunchBptxMinusForPPRef_v9,HIN,Yes,1,EmptyBX& OnlineMonitor,DQM& PhysicsCommissioning,L1_UnpairedBunchBptxMinus
HLT_HIL1UnpairedBunchBptxPlusForPPRef_v9,HIN,Yes,1,EmptyBX& OnlineMonitor,DQM& PhysicsCommissioning,L1_UnpairedBunchBptxPlus
HLT_HIL1NotBptxORForPPRef_v9,HIN,Yes,1,EmptyBX& OnlineMonitor,DQM& PhysicsCommissioning,L1_NotBptxOR
HLT_HIHT80_Beamspot_ppRef5TeV_v15,HIN,Yes,60,DQMOnlineBeamspot& ExpressAlignment,DQMOnlineBeamspot& ExpressAlignment,L1_DoubleJet40er2p7 OR L1_DoubleJet50er2p7 OR L1_DoubleJet60er2p7 OR L1_DoubleJet80er2p7 OR L1_DoubleJet100er2p7 OR L1_DoubleJet112er2p7 OR L1_DoubleJet120er2p7 OR L1_DoubleJet150er2p7 OR L1_SingleJet80 OR L1_SingleJet90 OR L1_SingleJet120 OR L1_SingleJet140 OR L1_SingleJet150 OR L1_SingleJet160 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200
HLT_PPRefZeroBias_v6,HIN,Yes,1,PPRefZeroBiasPlusForward0& PPRefZeroBiasPlusForward1& PPRefZeroBiasPlusForward10& PPRefZeroBiasPlusForward11& PPRefZeroBiasPlusForward12& PPRefZeroBiasPlusForward13& PPRefZeroBiasPlusForward14& PPRefZeroBiasPlusForward15& PPRefZeroBiasPlusForward16& PPRefZeroBiasPlusForward17& PPRefZeroBiasPlusForward18& PPRefZeroBiasPlusForward19& PPRefZeroBiasPlusForward2& PPRefZeroBiasPlusForward3& PPRefZeroBiasPlusForward4& PPRefZeroBiasPlusForward5& PPRefZeroBiasPlusForward6& PPRefZeroBiasPlusForward7& PPRefZeroBiasPlusForward8& PPRefZeroBiasPlusForward9,PhysicsPPRefZeroBiasPlusForward0& PhysicsPPRefZeroBiasPlusForward0& PhysicsPPRefZeroBiasPlusForward1& PhysicsPPRefZeroBiasPlusForward1& PhysicsPPRefZeroBiasPlusForward2& PhysicsPPRefZeroBiasPlusForward2& PhysicsPPRefZeroBiasPlusForward3& PhysicsPPRefZeroBiasPlusForward3& PhysicsPPRefZeroBiasPlusForward4& PhysicsPPRefZeroBiasPlusForward4& PhysicsPPRefZeroBiasPlusForward5& PhysicsPPRefZeroBiasPlusForward5& PhysicsPPRefZeroBiasPlusForward6& PhysicsPPRefZeroBiasPlusForward6& PhysicsPPRefZeroBiasPlusForward7& PhysicsPPRefZeroBiasPlusForward7& PhysicsPPRefZeroBiasPlusForward8& PhysicsPPRefZeroBiasPlusForward8& PhysicsPPRefZeroBiasPlusForward9& PhysicsPPRefZeroBiasPlusForward9,L1_ZeroBias
HLT_AK4CaloJet40_v6,HIN,Yes,5,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_ZeroBias
HLT_AK4CaloJet60_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet35
HLT_AK4CaloJet70_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60
HLT_AK4CaloJet80_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60
HLT_AK4CaloJet100_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60
HLT_AK4CaloJet120_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet90
HLT_AK4CaloJetFwd40_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_ZeroBias
HLT_AK4CaloJetFwd60_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet35_FWD2p5
HLT_AK4CaloJetFwd70_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60_FWD2p5
HLT_AK4CaloJetFwd80_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60_FWD2p5
HLT_AK4CaloJetFwd100_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60_FWD2p5
HLT_AK4CaloJetFwd120_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet90_FWD2p5
HLT_AK4PFJet40_v8,HIN,Yes,7,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_ZeroBias
HLT_AK4PFJet60_v8,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet35
HLT_AK4PFJet80_v8,SMP,Yes,1,ExpressPhysics(80)& HLTMonitor(8)& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,Express& HLTMonitor& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60
HLT_AK4PFJet100_v8,SMP,Yes,1,EventDisplay(80)& OnlineMonitor& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,DQM& DQMEventDisplay& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60
HLT_AK4PFJet120_v8,SMP,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet90
HLT_AK4PFJetFwd40_v8,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_ZeroBias
HLT_AK4PFJetFwd60_v8,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet35_FWD2p5
HLT_AK4PFJetFwd80_v8,HIN,Yes,1,OnlineMonitor& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,DQM& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60_FWD2p5
HLT_AK4PFJetFwd100_v8,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet60_FWD2p5
HLT_AK4PFJetFwd120_v8,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleJet90_FWD2p5
HLT_PPRefDoubleEle10Gsf_v6,HIN,Yes,1,OnlineMonitor& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,DQM& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_DoubleEG_10_5
HLT_PPRefDoubleEle10GsfMass50_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_DoubleEG_10_5
HLT_PPRefDoubleEle15Gsf_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_DoubleEG_10_5
HLT_PPRefDoubleEle15GsfMass50_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_DoubleEG_10_5
HLT_PPRefEle15Ele10Gsf_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_DoubleEG_10_5
