Path,Owners,Online?,PS (PRef),Datasets (SmartPS),Streams,L1T Seed
HLT_PPRefEle15Ele10GsfMass50_v6,HIN,Yes,1,ExpressPhysics& HLTMonitor& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,Express& HLTMonitor& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_DoubleEG_10_5
HLT_PPRefEle10Gsf_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG10
HLT_PPRefEle15Gsf_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG10
HLT_PPRefEle20Gsf_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG15
HLT_PPRefEle30Gsf_v6,HIN,Yes,1,OnlineMonitor& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,DQM& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG15
HLT_PPRefEle40Gsf_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG21
HLT_PPRefEle50Gsf_v6,HIN,Yes,1,HLTMonitor& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,HLTMonitor& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG21
HLT_PPRefGEDPhoton10_v6,HIN,Yes,2,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG10
HLT_PPRefGEDPhoton10_EB_v6,HIN,Yes,2,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG10
HLT_PPRefGEDPhoton20_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG10
HLT_PPRefGEDPhoton20_EB_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG10
HLT_PPRefGEDPhoton30_v6,HIN,Yes,1,EventDisplay& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,DQMEventDisplay& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG15
HLT_PPRefGEDPhoton30_EB_v6,HIN,Yes,1,OnlineMonitor& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,DQM& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG15
HLT_PPRefGEDPhoton40_v6,HIN,Yes,1,OnlineMonitor& PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,DQM& PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG21
HLT_PPRefGEDPhoton40_EB_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG21
HLT_PPRefGEDPhoton50_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG21
HLT_PPRefGEDPhoton50_EB_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG21
HLT_PPRefGEDPhoton60_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG30
HLT_PPRefGEDPhoton60_EB_v6,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_SingleEG30
HLT_PPRefDoubleGEDPhoton20_v1,HIN,Yes,1,PPRefHardProbes0& PPRefHardProbes1& PPRefHardProbes2,PhysicsPPRefHardProbes0& PhysicsPPRefHardProbes1& PhysicsPPRefHardProbes2,L1_DoubleEG_10_5
HLT_PPRefL1DoubleMu0_v6,HIN,Yes,1,PPRefDoubleMuon0& PPRefDoubleMuon1& PPRefDoubleMuon2& PPRefDoubleMuon3,PhysicsPPRefDoubleMuon0& PhysicsPPRefDoubleMuon1& PhysicsPPRefDoubleMuon2& PhysicsPPRefDoubleMuon3,L1_DoubleMu0
HLT_PPRefL1DoubleMu0_SQ_v1,HIN,Yes,1,PPRefDoubleMuon0& PPRefDoubleMuon1& PPRefDoubleMuon2& PPRefDoubleMuon3,PhysicsPPRefDoubleMuon0& PhysicsPPRefDoubleMuon1& PhysicsPPRefDoubleMuon2& PhysicsPPRefDoubleMuon3,L1_DoubleMu0_SQ
HLT_PPRefL1DoubleMu0_Open_v6,HIN,Yes,0,PPRefDoubleMuon0& PPRefDoubleMuon1& PPRefDoubleMuon2& PPRefDoubleMuon3,PhysicsPPRefDoubleMuon0& PhysicsPPRefDoubleMuon1& PhysicsPPRefDoubleMuon2& PhysicsPPRefDoubleMuon3,L1_DoubleMuOpen
HLT_PPRefL1DoubleMu2_v1,HIN,Yes,1,PPRefDoubleMuon0& PPRefDoubleMuon1& PPRefDoubleMuon2& PPRefDoubleMuon3,PhysicsPPRefDoubleMuon0& PhysicsPPRefDoubleMuon1& PhysicsPPRefDoubleMuon2& PhysicsPPRefDoubleMuon3,L1_DoubleMu2
HLT_PPRefL1DoubleMu2_SQ_v1,HIN,Yes,1,PPRefDoubleMuon0& PPRefDoubleMuon1& PPRefDoubleMuon2& PPRefDoubleMuon3,PhysicsPPRefDoubleMuon0& PhysicsPPRefDoubleMuon1& PhysicsPPRefDoubleMuon2& PhysicsPPRefDoubleMuon3,L1_DoubleMu2_SQ
HLT_PPRefL1SingleMu0_Cosmics_v6,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMuCosmics
HLT_PPRefL1SingleMu7_v6,HIN,Yes,5,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu7
HLT_PPRefL1SingleMu12_v6,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu12
HLT_PPRefL1SingleMu5_Ele20Gsf_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu3_SingleEG12
HLT_PPRefL1SingleMu5_GEDPhoton20_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu3_SingleEG12
HLT_PPRefL1SingleMu7_Ele20Gsf_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu5_SingleEG15
HLT_PPRefL1SingleMu7_GEDPhoton10_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu5_SingleEG15
HLT_PPRefL2DoubleMu0_v6,HIN,Yes,1,PPRefDoubleMuon0& PPRefDoubleMuon1& PPRefDoubleMuon2& PPRefDoubleMuon3,PhysicsPPRefDoubleMuon0& PhysicsPPRefDoubleMuon1& PhysicsPPRefDoubleMuon2& PhysicsPPRefDoubleMuon3,L1_DoubleMu0
HLT_PPRefL2DoubleMu0_Open_v6,HIN,Yes,0,PPRefDoubleMuon0& PPRefDoubleMuon1& PPRefDoubleMuon2& PPRefDoubleMuon3,PhysicsPPRefDoubleMuon0& PhysicsPPRefDoubleMuon1& PhysicsPPRefDoubleMuon2& PhysicsPPRefDoubleMuon3,L1_DoubleMuOpen
HLT_PPRefL2SingleMu7_v6,HIN,Yes,5,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu7
HLT_PPRefL2SingleMu12_v6,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu7
HLT_PPRefL2SingleMu15_v6,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu7
HLT_PPRefL2SingleMu20_v6,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMuOpen
HLT_PPRefL3DoubleMu0_v8,HIN,Yes,1,OnlineMonitor& PPRefDoubleMuon0& PPRefDoubleMuon1& PPRefDoubleMuon2& PPRefDoubleMuon3,DQM& PhysicsPPRefDoubleMuon0& PhysicsPPRefDoubleMuon1& PhysicsPPRefDoubleMuon2& PhysicsPPRefDoubleMuon3,L1_DoubleMu0
HLT_PPRefL3DoubleMu0_Open_v8,HIN,Yes,0,OnlineMonitor& PPRefDoubleMuon0& PPRefDoubleMuon1& PPRefDoubleMuon2& PPRefDoubleMuon3,DQM& PhysicsPPRefDoubleMuon0& PhysicsPPRefDoubleMuon1& PhysicsPPRefDoubleMuon2& PhysicsPPRefDoubleMuon3,L1_DoubleMuOpen
HLT_PPRefL3SingleMu3_v8,HIN,Yes,250,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu3
HLT_PPRefL3SingleMu5_v8,HIN,Yes,50,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu5
HLT_PPRefL3SingleMu7_v8,HIN,Yes,5,EventDisplay(80)& ExpressPhysics(80)& OnlineMonitor& PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,DQM& DQMEventDisplay& Express& PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu7
HLT_PPRefL3SingleMu12_v8,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu7
HLT_PPRefL3SingleMu15_v8,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu7
HLT_PPRefL3SingleMu20_v8,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu7
HLT_PPRefL3SingleMu3_SingleAK4CaloJet40_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMuOpen_SingleJet28er2p7
HLT_PPRefL3SingleMu3_SingleAK4CaloJet60_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMuOpen_SingleJet44er2p7
HLT_PPRefL3SingleMu3_SingleAK4CaloJet80_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMuOpen_SingleJet64er2p7
HLT_PPRefL3SingleMu5_SingleAK4CaloJet40_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu3_SingleJet32er2p7
HLT_PPRefL3SingleMu5_SingleAK4CaloJet60_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu3_SingleJet40er2p7
HLT_PPRefL3SingleMu5_SingleAK4CaloJet80_v1,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMu3_SingleJet40er2p7
HLT_PPRefCscCluster_Loose_v6,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMuShower_Nominal OR L1_SingleMuShower_Tight
HLT_PPRefCscCluster_Medium_v6,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMuShower_Nominal OR L1_SingleMuShower_Tight
HLT_PPRefCscCluster_Tight_v6,HIN,Yes,1,PPRefSingleMuon0& PPRefSingleMuon1& PPRefSingleMuon2,PhysicsPPRefSingleMuon0& PhysicsPPRefSingleMuon1& PhysicsPPRefSingleMuon2,L1_SingleMuShower_Nominal OR L1_SingleMuShower_Tight
HLT_PPRefUPC_SingleJet8_ZDC1nAsymXOR_v1,HIN,Yes,1,PPRefZeroBiasPlusForward0& PPRefZeroBiasPlusForward1& PPRefZeroBiasPlusForward10& PPRefZeroBiasPlusForward11& PPRefZeroBiasPlusForward12& PPRefZeroBiasPlusForward13& PPRefZeroBiasPlusForward14& PPRefZeroBiasPlusForward15& PPRefZeroBiasPlusForward16& PPRefZeroBiasPlusForward17& PPRefZeroBiasPlusForward18& PPRefZeroBiasPlusForward19& PPRefZeroBiasPlusForward2& PPRefZeroBiasPlusForward3& PPRefZeroBiasPlusForward4& PPRefZeroBiasPlusForward5& PPRefZeroBiasPlusForward6& PPRefZeroBiasPlusForward7& PPRefZeroBiasPlusForward8& PPRefZeroBiasPlusForward9,PhysicsPPRefZeroBiasPlusForward0& PhysicsPPRefZeroBiasPlusForward0& PhysicsPPRefZeroBiasPlusForward1& PhysicsPPRefZeroBiasPlusForward1& PhysicsPPRefZeroBiasPlusForward2& PhysicsPPRefZeroBiasPlusForward2& PhysicsPPRefZeroBiasPlusForward3& PhysicsPPRefZeroBiasPlusForward3& PhysicsPPRefZeroBiasPlusForward4& PhysicsPPRefZeroBiasPlusForward4& PhysicsPPRefZeroBiasPlusForward5& PhysicsPPRefZeroBiasPlusForward5& PhysicsPPRefZeroBiasPlusForward6& PhysicsPPRefZeroBiasPlusForward6& PhysicsPPRefZeroBiasPlusForward7& PhysicsPPRefZeroBiasPlusForward7& PhysicsPPRefZeroBiasPlusForward8& PhysicsPPRefZeroBiasPlusForward8& PhysicsPPRefZeroBiasPlusForward9& PhysicsPPRefZeroBiasPlusForward9,L1_SingleJet8_ZDC1n_AsymXOR OR L1_SingleJet8_ZDC1n_Bkp1_AsymXOR OR L1_SingleJet8_ZDC1n_Bkp2_AsymXOR OR L1_SingleJet8_ZDC1n_Bkp3_AsymXOR
HLT_PPRefUPC_SingleJet12_ZDC1nAsymXOR_v1,HIN,Yes,1,PPRefZeroBiasPlusForward0& PPRefZeroBiasPlusForward1& PPRefZeroBiasPlusForward10& PPRefZeroBiasPlusForward11& PPRefZeroBiasPlusForward12& PPRefZeroBiasPlusForward13& PPRefZeroBiasPlusForward14& PPRefZeroBiasPlusForward15& PPRefZeroBiasPlusForward16& PPRefZeroBiasPlusForward17& PPRefZeroBiasPlusForward18& PPRefZeroBiasPlusForward19& PPRefZeroBiasPlusForward2& PPRefZeroBiasPlusForward3& PPRefZeroBiasPlusForward4& PPRefZeroBiasPlusForward5& PPRefZeroBiasPlusForward6& PPRefZeroBiasPlusForward7& PPRefZeroBiasPlusForward8& PPRefZeroBiasPlusForward9,PhysicsPPRefZeroBiasPlusForward0& PhysicsPPRefZeroBiasPlusForward0& PhysicsPPRefZeroBiasPlusForward1& PhysicsPPRefZeroBiasPlusForward1& PhysicsPPRefZeroBiasPlusForward2& PhysicsPPRefZeroBiasPlusForward2& PhysicsPPRefZeroBiasPlusForward3& PhysicsPPRefZeroBiasPlusForward3& PhysicsPPRefZeroBiasPlusForward4& PhysicsPPRefZeroBiasPlusForward4& PhysicsPPRefZeroBiasPlusForward5& PhysicsPPRefZeroBiasPlusForward5& PhysicsPPRefZeroBiasPlusForward6& PhysicsPPRefZeroBiasPlusForward6& PhysicsPPRefZeroBiasPlusForward7& PhysicsPPRefZeroBiasPlusForward7& PhysicsPPRefZeroBiasPlusForward8& PhysicsPPRefZeroBiasPlusForward8& PhysicsPPRefZeroBiasPlusForward9& PhysicsPPRefZeroBiasPlusForward9,L1_SingleJet12_ZDC1n_AsymXOR OR L1_SingleJet12_ZDC1n_Bkp1_AsymXOR OR L1_SingleJet12_ZDC1n_Bkp2_AsymXOR OR L1_SingleJet12_ZDC1n_Bkp3_AsymXOR
HLT_PPRefUPC_SingleJet16_ZDC1nAsymXOR_v1,HIN,Yes,1,PPRefZeroBiasPlusForward0& PPRefZeroBiasPlusForward1& PPRefZeroBiasPlusForward10& PPRefZeroBiasPlusForward11& PPRefZeroBiasPlusForward12& PPRefZeroBiasPlusForward13& PPRefZeroBiasPlusForward14& PPRefZeroBiasPlusForward15& PPRefZeroBiasPlusForward16& PPRefZeroBiasPlusForward17& PPRefZeroBiasPlusForward18& PPRefZeroBiasPlusForward19& PPRefZeroBiasPlusForward2& PPRefZeroBiasPlusForward3& PPRefZeroBiasPlusForward4& PPRefZeroBiasPlusForward5& PPRefZeroBiasPlusForward6& PPRefZeroBiasPlusForward7& PPRefZeroBiasPlusForward8& PPRefZeroBiasPlusForward9,PhysicsPPRefZeroBiasPlusForward0& PhysicsPPRefZeroBiasPlusForward0& PhysicsPPRefZeroBiasPlusForward1& PhysicsPPRefZeroBiasPlusForward1& PhysicsPPRefZeroBiasPlusForward2& PhysicsPPRefZeroBiasPlusForward2& PhysicsPPRefZeroBiasPlusForward3& PhysicsPPRefZeroBiasPlusForward3& PhysicsPPRefZeroBiasPlusForward4& PhysicsPPRefZeroBiasPlusForward4& PhysicsPPRefZeroBiasPlusForward5& PhysicsPPRefZeroBiasPlusForward5& PhysicsPPRefZeroBiasPlusForward6& PhysicsPPRefZeroBiasPlusForward6& PhysicsPPRefZeroBiasPlusForward7& PhysicsPPRefZeroBiasPlusForward7& PhysicsPPRefZeroBiasPlusForward8& PhysicsPPRefZeroBiasPlusForward8& PhysicsPPRefZeroBiasPlusForward9& PhysicsPPRefZeroBiasPlusForward9,L1_SingleJet16_ZDC1n_AsymXOR OR L1_SingleJet16_ZDC1n_Bkp1_AsymXOR OR L1_SingleJet16_ZDC1n_Bkp2_AsymXOR OR L1_SingleJet16_ZDC1n_Bkp3_AsymXOR
